;date;icms_sp;igp_m;ibc_br;dias_uteis;igp_m_22;ibc_br_22;igp_m_21;ibc_br_21;igp_m_20;ibc_br_20;igp_m_19;ibc_br_19;igp_m_18;ibc_br_18;igp_m_17;ibc_br_17;igp_m_16;ibc_br_16;igp_m_15;ibc_br_15;igp_m_14;ibc_br_14;igp_m_13;ibc_br_13;Licms_sp;DLicms_sp;D2igp_m;Dibc_br;D2igp_m_22;Dibc_br_22;D2igp_m_21;Dibc_br_21;D2igp_m_20;Dibc_br_20;D2igp_m_19;Dibc_br_19;D2igp_m_18;Dibc_br_18;D2igp_m_17;Dibc_br_17;D2igp_m_16;Dibc_br_16;D2igp_m_15;Dibc_br_15;D2igp_m_14;Dibc_br_14;D2igp_m_13;Dibc_br_13;22_forecast_uni_fixed;22_forecast_uni_var;22_forecast_uni_mean_var;22_forecast_multi_fixed;22_forecast_multi_var;22_forecast_multi_mean_var;21_forecast_uni_fixed;21_forecast_uni_var;21_forecast_uni_mean_var;21_forecast_multi_fixed;21_forecast_multi_var;21_forecast_multi_mean_var;20_forecast_uni_fixed;20_forecast_uni_var;20_forecast_uni_mean_var;20_forecast_multi_fixed;20_forecast_multi_var;20_forecast_multi_mean_var;19_forecast_uni_fixed;19_forecast_uni_var;19_forecast_multi_fixed;19_forecast_multi_var;19_forecast_multi_mean_var;18_forecast_uni_fixed;18_forecast_uni_var;18_forecast_uni_mean_var;18_forecast_multi_fixed;18_forecast_multi_var;18_forecast_multi_mean_var;17_forecast_uni_fixed;17_forecast_uni_var;17_forecast_uni_mean_var;17_forecast_multi_fixed;17_forecast_multi_var;17_forecast_multi_mean_var;16_forecast_uni_fixed;16_forecast_uni_var;16_forecast_uni_mean_var;16_forecast_multi_fixed;16_forecast_multi_var;16_forecast_multi_mean_var;15_forecast_uni_fixed;15_forecast_uni_var;15_forecast_uni_mean_var;15_forecast_multi_var;15_forecast_multi_mean_var;14_forecast_uni_fixed;14_forecast_uni_var;13_forecast_uni_fixed;13_forecast_uni_var;13_forecast_uni_mean_var;13_forecast_multi_var;13_forecast_multi_mean_var;14_forecast_multi_fixed;14_forecast_multi_mean_var;14_forecast_multi_var;14_forecast_uni_mean_var
2003(1);2003-01-01;3360295665;277,173;96,15;22;277,173;96,15;277,173;96,15;277,173;96,15;277,173;96,15;277,173;96,15;277,173;96,15;277,173;96,15;277,173;96,15;277,173;96,15;277,173;96,15;21,9352948;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2003(2);2003-02-01;3196557724;283,506;98,67;20;283,506;98,67;283,506;98,67;283,506;98,67;283,506;98,67;283,506;98,67;283,506;98,67;283,506;98,67;283,506;98,67;283,506;98,67;283,506;98,67;21,88534036;-0,049954446;#N/A;2,52;#N/A;2,52;#N/A;2,52;#N/A;2,52;#N/A;2,52;#N/A;2,52;#N/A;2,52;#N/A;2,52;#N/A;2,52;#N/A;2,52;#N/A;2,52;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2003(3);2003-03-01;3160010802;287,855;103,41;19;287,855;103,41;287,855;103,41;287,855;103,41;287,855;103,41;287,855;103,41;287,855;103,41;287,855;103,41;287,855;103,41;287,855;103,41;287,855;103,41;21,87384128;-0,011499074;10,682;4,74;10,682;4,74;10,682;4,74;10,682;4,74;10,682;4,74;10,682;4,74;10,682;4,74;10,682;4,74;10,682;4,74;10,682;4,74;10,682;4,74;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2003(4);2003-04-01;3215307355;290,512;102,19;20;290,512;102,19;290,512;102,19;290,512;102,19;290,512;102,19;290,512;102,19;290,512;102,19;290,512;102,19;290,512;102,19;290,512;102,19;290,512;102,19;21,89118879;0,017347507;7,006;-1,22;7,006;-1,22;7,006;-1,22;7,006;-1,22;7,006;-1,22;7,006;-1,22;7,006;-1,22;7,006;-1,22;7,006;-1,22;7,006;-1,22;7,006;-1,22;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2003(5);2003-05-01;3098930221;289,747;100,3;21;289,747;100,3;289,747;100,3;289,747;100,3;289,747;100,3;289,747;100,3;289,747;100,3;289,747;100,3;289,747;100,3;289,747;100,3;289,747;100,3;21,8543228;-0,036865992;1,892;-1,89;1,892;-1,89;1,892;-1,89;1,892;-1,89;1,892;-1,89;1,892;-1,89;1,892;-1,89;1,892;-1,89;1,892;-1,89;1,892;-1,89;1,892;-1,89;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2003(6);2003-06-01;3117682344;286,843;98,58;20;286,843;98,58;286,843;98,58;286,843;98,58;286,843;98,58;286,843;98,58;286,843;98,58;286,843;98,58;286,843;98,58;286,843;98,58;286,843;98,58;21,86035572;0,006032925;-3,669;-1,72;-3,669;-1,72;-3,669;-1,72;-3,669;-1,72;-3,669;-1,72;-3,669;-1,72;-3,669;-1,72;-3,669;-1,72;-3,669;-1,72;-3,669;-1,72;-3,669;-1,72;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2003(7);2003-07-01;3196875782;285,649;103,05;22;285,649;103,05;285,649;103,05;285,649;103,05;285,649;103,05;285,649;103,05;285,649;103,05;285,649;103,05;285,649;103,05;285,649;103,05;285,649;103,05;21,88543985;0,025084127;-4,098;4,47;-4,098;4,47;-4,098;4,47;-4,098;4,47;-4,098;4,47;-4,098;4,47;-4,098;4,47;-4,098;4,47;-4,098;4,47;-4,098;4,47;-4,098;4,47;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2003(8);2003-08-01;3159728212;286,735;101,47;21;286,735;101,47;286,735;101,47;286,735;101,47;286,735;101,47;286,735;101,47;286,735;101,47;286,735;101,47;286,735;101,47;286,735;101,47;286,735;101,47;21,87375185;-0,011688;-0,108;-1,58;-0,108;-1,58;-0,108;-1,58;-0,108;-1,58;-0,108;-1,58;-0,108;-1,58;-0,108;-1,58;-0,108;-1,58;-0,108;-1,58;-0,108;-1,58;-0,108;-1,58;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2003(9);2003-09-01;3340886551;290,127;102,87;22;290,127;102,87;290,127;102,87;290,127;102,87;290,127;102,87;290,127;102,87;290,127;102,87;290,127;102,87;290,127;102,87;290,127;102,87;290,127;102,87;21,92950204;0,055750191;4,478;1,4;4,478;1,4;4,478;1,4;4,478;1,4;4,478;1,4;4,478;1,4;4,478;1,4;4,478;1,4;4,478;1,4;4,478;1,4;4,478;1,4;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2003(10);2003-10-01;3423217817;291,229;105,06;23;291,229;105,06;291,229;105,06;291,229;105,06;291,229;105,06;291,229;105,06;291,229;105,06;291,229;105,06;291,229;105,06;291,229;105,06;291,229;105,06;21,95384683;0,024344785;4,494;2,19;4,494;2,19;4,494;2,19;4,494;2,19;4,494;2,19;4,494;2,19;4,494;2,19;4,494;2,19;4,494;2,19;4,494;2,19;4,494;2,19;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
